intent,term,weight
order_tracking,order,0.0913
order_tracking,delivery,0.0464
order_tracking,my order,0.045
order_tracking,when,0.0442
order_tracking,for,0.0363
order_tracking,my,0.036
order_tracking,where,0.0352
order_tracking,is,0.035
shipping_delivery,delivery,0.0789
shipping_delivery,you,0.0599
shipping_delivery,do you,0.0559
shipping_delivery,do,0.0474
shipping_delivery,can,0.0465
shipping_delivery,shipping,0.0437
shipping_delivery,is,0.039
shipping_delivery,can i,0.0362
return_policy_question,return,0.1173
return_policy_question,i,0.0711
return_policy_question,i return,0.0518
return_policy_question,do i,0.0472
return_policy_question,do,0.0464
return_policy_question,the,0.0409
return_policy_question,can i,0.0369
return_policy_question,can,0.0346
warranty_claim,warranty,0.1232
warranty_claim,months,0.0516
warranty_claim,claim,0.0491
warranty_claim,is,0.0399
warranty_claim,my,0.0357
warranty_claim,period for,0.0348
warranty_claim,covered,0.033
warranty_claim,warranty period,0.0327
technical_support,my,0.0532
technical_support,laptop,0.0506
technical_support,getting,0.0499
technical_support,how do,0.042
technical_support,keeps,0.0394
technical_support,do i,0.0356
technical_support,how,0.0356
technical_support,screen,0.0347
return_refund_request,i,0.0789
return_refund_request,want,0.077
return_refund_request,refund,0.0751
return_refund_request,i want,0.0734
return_refund_request,return,0.0713
return_refund_request,to return,0.0568
return_refund_request,to,0.0489
return_refund_request,want to,0.0464
out_of_scope,ok,0.0729
out_of_scope,me a,0.0577
out_of_scope,what,0.0568
out_of_scope,me,0.0548
out_of_scope,you,0.0524
out_of_scope,who,0.051
out_of_scope,asdfgh,0.0472
out_of_scope,a,0.0426
payment_issue,my,0.053
payment_issue,invoice,0.0505
payment_issue,for order,0.0482
payment_issue,card,0.0471
payment_issue,was,0.0458
payment_issue,emi,0.0436
payment_issue,i,0.0402
payment_issue,but,0.0378
product_information,the,0.0844
product_information,does,0.0602
product_information,probook,0.0583
product_information,does the,0.0502
product_information,of,0.0495
product_information,have,0.0491
product_information,is,0.0485
product_information,14,0.0442
account_management,my,0.1128
account_management,account,0.1054
account_management,my account,0.0829
account_management,delete,0.058
account_management,how do,0.0559
account_management,i,0.051
account_management,how,0.0504
account_management,do i,0.0475
complaint,this,0.0705
complaint,service,0.0648
complaint,to,0.0555
complaint,bahut,0.0548
complaint,this is,0.0537
complaint,a,0.0486
complaint,experience,0.0433
complaint,worst,0.0401
